initiative,instrument,jurisdiction,region,income_group,start_year,year,carbon_price
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2022,21.960425483243736
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2022,95.96248427313279
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2022,77.66212970376301
Nova Scotia OBPS,ETS,Nova Scotia,North America,High income,2019,2022,23.09782608695652
Ontario EPS,ETS,Ontario,North America,High income,2022,2022,31.9693094629156
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2022,0.07623040640335414
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2022,0.0030492162561341655
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2022,0.07543101036305051
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2022,0.3457324764099491
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2022,14.909222322705563
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2022,26.170520028602276
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2022,24.445371030438352
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2022,25.47521297808781
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2022,26.398716577540107
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2022,29.202659914450066
Prince Edward Island Carbon tax,Carbon tax,Prince Edward Island,North America,High income,2019,2022,23.9769820971867
Quebec CaT,ETS,Quebec,North America,High income,2013,2022,38.58
RGGI,ETS,RGGI,North America,High income,2009,2022,13.89
Saitama ETS,ETS,Saitama,East Asia & Pacific,High income,2011,2022,3.8379705400981994
Saskatchewan OBPS,ETS,Saskatchewan,North America,High income,2019,2022,39.9616368286445
Shanghai pilot ETS,ETS,Shanghai,East Asia & Pacific,Upper middle income,2013,2022,9.276907592627541
Shenzhen pilot ETS,ETS,Shenzhen,East Asia & Pacific,Upper middle income,2013,2022,0.6416304963200604
